"date","median_ndvi","landsat","year","month","day"
2020-02-13,0.158910602331161,"Landsat7 (ETM+)",2020,2,13
2020-02-18,0.16410831835401,"Landsat7 (ETM+)",2020,2,18
2020-02-23,0.16934792020038,"Landsat7 (ETM+)",2020,2,23
2020-02-28,0.174001120517459,"Landsat7 (ETM+)",2020,2,28
2020-03-04,0.178279471903806,"Landsat7 (ETM+)",2020,3,4
2020-03-09,0.183206176934163,"Landsat7 (ETM+)",2020,3,9
2020-03-14,0.188057026945898,"Landsat7 (ETM+)",2020,3,14
2020-03-19,0.19205432723038,"Landsat7 (ETM+)",2020,3,19
2020-03-24,0.194420383078977,"Landsat7 (ETM+)",2020,3,24
2020-03-29,0.194377499783058,"Landsat7 (ETM+)",2020,3,29
2020-04-03,0.190686625152011,"Landsat7 (ETM+)",2020,4,3
2020-04-08,0.180494005804576,"Landsat7 (ETM+)",2020,4,8
2020-04-13,0.168290040106513,"Landsat7 (ETM+)",2020,4,13
2020-04-18,0.159857140662894,"Landsat7 (ETM+)",2020,4,18
2020-04-23,0.15496985918162,"Landsat7 (ETM+)",2020,4,23
2020-04-28,0.152514776432895,"Landsat7 (ETM+)",2020,4,28
2020-05-03,0.153198130428791,"Landsat7 (ETM+)",2020,5,3
2020-05-08,0.156326022750139,"Landsat7 (ETM+)",2020,5,8
2020-05-13,0.160661095873091,"Landsat7 (ETM+)",2020,5,13
2020-05-18,0.166094399152694,"Landsat7 (ETM+)",2020,5,18
2020-05-23,0.172516981944,"Landsat7 (ETM+)",2020,5,23
2020-05-28,0.179819893602057,"Landsat7 (ETM+)",2020,5,28
2020-06-02,0.187894183481916,"Landsat7 (ETM+)",2020,6,2
2020-06-07,0.196630900938626,"Landsat7 (ETM+)",2020,6,7
2020-06-12,0.205921095327236,"Landsat7 (ETM+)",2020,6,12
2020-06-17,0.215655816002797,"Landsat7 (ETM+)",2020,6,17
2020-06-22,0.225726112320359,"Landsat7 (ETM+)",2020,6,22
2020-06-27,0.23602303363497,"Landsat7 (ETM+)",2020,6,27
2020-07-02,0.246437629301681,"Landsat7 (ETM+)",2020,7,2
2020-07-07,0.256860948675541,"Landsat7 (ETM+)",2020,7,7
2020-07-12,0.2671840411116,"Landsat7 (ETM+)",2020,7,12
2020-07-17,0.277297955964908,"Landsat7 (ETM+)",2020,7,17
2020-07-22,0.287093742590514,"Landsat7 (ETM+)",2020,7,22
2020-07-27,0.296462450343468,"Landsat7 (ETM+)",2020,7,27
2020-08-01,0.305295128578819,"Landsat7 (ETM+)",2020,8,1
2020-08-06,0.313482826651618,"Landsat7 (ETM+)",2020,8,6
2020-08-11,0.320916593916915,"Landsat7 (ETM+)",2020,8,11
2020-08-16,0.327487479729757,"Landsat7 (ETM+)",2020,8,16
2020-08-21,0.333086533445197,"Landsat7 (ETM+)",2020,8,21
2020-08-26,0.337604804418282,"Landsat7 (ETM+)",2020,8,26
2020-08-31,0.340933342004064,"Landsat7 (ETM+)",2020,8,31
2020-09-05,0.34296319555759,"Landsat7 (ETM+)",2020,9,5
2020-09-10,0.343530571346255,"Landsat7 (ETM+)",2020,9,10
2020-09-15,0.342131963270777,"Landsat7 (ETM+)",2020,9,15
2020-09-20,0.338859447780123,"Landsat7 (ETM+)",2020,9,20
2020-09-25,0.33394920618801,"Landsat7 (ETM+)",2020,9,25
2020-09-30,0.327637419808154,"Landsat7 (ETM+)",2020,9,30
2020-10-05,0.320160269954272,"Landsat7 (ETM+)",2020,10,5
2020-10-10,0.311753937940079,"Landsat7 (ETM+)",2020,10,10
2020-10-15,0.302654605079291,"Landsat7 (ETM+)",2020,10,15
2020-10-20,0.293098452685626,"Landsat7 (ETM+)",2020,10,20
