"date","median_ndvi","landsat","year","month","day"
2020-02-13,0.253184288740158,"Landsat7 (ETM+)",2020,2,13
2020-02-18,0.247450449305688,"Landsat7 (ETM+)",2020,2,18
2020-02-23,0.241666120637092,"Landsat7 (ETM+)",2020,2,23
2020-02-28,0.236588641246271,"Landsat7 (ETM+)",2020,2,28
2020-03-04,0.232554503891151,"Landsat7 (ETM+)",2020,3,4
2020-03-09,0.229250206771212,"Landsat7 (ETM+)",2020,3,9
2020-03-14,0.227033649171062,"Landsat7 (ETM+)",2020,3,14
2020-03-19,0.226785085710616,"Landsat7 (ETM+)",2020,3,19
2020-03-24,0.229171381797641,"Landsat7 (ETM+)",2020,3,24
2020-03-29,0.230770653920444,"Landsat7 (ETM+)",2020,3,29
2020-04-03,0.227800188840774,"Landsat7 (ETM+)",2020,4,3
2020-04-08,0.219167807049416,"Landsat7 (ETM+)",2020,4,8
2020-04-13,0.209484484803397,"Landsat7 (ETM+)",2020,4,13
2020-04-18,0.203871586963942,"Landsat7 (ETM+)",2020,4,18
2020-04-23,0.202923308243044,"Landsat7 (ETM+)",2020,4,23
2020-04-28,0.204579094752262,"Landsat7 (ETM+)",2020,4,28
2020-05-03,0.207573175430298,"Landsat7 (ETM+)",2020,5,3
2020-05-08,0.211164844771332,"Landsat7 (ETM+)",2020,5,8
2020-05-13,0.215414732800809,"Landsat7 (ETM+)",2020,5,13
2020-05-18,0.220259071754327,"Landsat7 (ETM+)",2020,5,18
2020-05-23,0.225634093867484,"Landsat7 (ETM+)",2020,5,23
2020-05-28,0.231476031375877,"Landsat7 (ETM+)",2020,5,28
2020-06-02,0.237721116515104,"Landsat7 (ETM+)",2020,6,2
2020-06-07,0.244305581520763,"Landsat7 (ETM+)",2020,6,7
2020-06-12,0.251165658628451,"Landsat7 (ETM+)",2020,6,12
2020-06-17,0.258237580073768,"Landsat7 (ETM+)",2020,6,17
2020-06-22,0.265457578092309,"Landsat7 (ETM+)",2020,6,22
2020-06-27,0.272761884919674,"Landsat7 (ETM+)",2020,6,27
2020-07-02,0.28008673279146,"Landsat7 (ETM+)",2020,7,2
2020-07-07,0.287368353943264,"Landsat7 (ETM+)",2020,7,7
2020-07-12,0.294542980610686,"Landsat7 (ETM+)",2020,7,12
2020-07-17,0.301546845029321,"Landsat7 (ETM+)",2020,7,17
2020-07-22,0.308316179434768,"Landsat7 (ETM+)",2020,7,22
2020-07-27,0.314787216062626,"Landsat7 (ETM+)",2020,7,27
2020-08-01,0.320896187148491,"Landsat7 (ETM+)",2020,8,1
