"date","median_ndvi","landsat","year","month","day"
2020-02-13,0.226586386561394,"Landsat7 (ETM+)",2020,2,13
2020-02-18,0.219122727576178,"Landsat7 (ETM+)",2020,2,18
2020-02-23,0.211628151591868,"Landsat7 (ETM+)",2020,2,23
2020-02-28,0.204566413594876,"Landsat7 (ETM+)",2020,2,28
2020-03-04,0.198782770894468,"Landsat7 (ETM+)",2020,3,4
2020-03-09,0.194055288375239,"Landsat7 (ETM+)",2020,3,9
2020-03-14,0.188162820995785,"Landsat7 (ETM+)",2020,3,14
2020-03-19,0.178898374396339,"Landsat7 (ETM+)",2020,3,19
2020-03-24,0.166452986653894,"Landsat7 (ETM+)",2020,3,24
2020-03-29,0.153660287259299,"Landsat7 (ETM+)",2020,3,29
2020-04-03,0.143109771612216,"Landsat7 (ETM+)",2020,4,3
2020-04-08,0.133802324095086,"Landsat7 (ETM+)",2020,4,8
2020-04-13,0.126055122469552,"Landsat7 (ETM+)",2020,4,13
2020-04-18,0.120831227834628,"Landsat7 (ETM+)",2020,4,18
2020-04-23,0.117709911543898,"Landsat7 (ETM+)",2020,4,23
2020-04-28,0.117024328714138,"Landsat7 (ETM+)",2020,4,28
2020-05-03,0.119804970920086,"Landsat7 (ETM+)",2020,5,3
2020-05-08,0.125392779237952,"Landsat7 (ETM+)",2020,5,8
2020-05-13,0.132357438401006,"Landsat7 (ETM+)",2020,5,13
2020-05-18,0.140572555469579,"Landsat7 (ETM+)",2020,5,18
2020-05-23,0.149911737503999,"Landsat7 (ETM+)",2020,5,23
2020-05-28,0.160248591564597,"Landsat7 (ETM+)",2020,5,28
2020-06-02,0.171456724711703,"Landsat7 (ETM+)",2020,6,2
2020-06-07,0.183409744005647,"Landsat7 (ETM+)",2020,6,7
2020-06-12,0.19598125650676,"Landsat7 (ETM+)",2020,6,12
2020-06-17,0.20904486927537,"Landsat7 (ETM+)",2020,6,17
2020-06-22,0.222474189371809,"Landsat7 (ETM+)",2020,6,22
2020-06-27,0.236142823856406,"Landsat7 (ETM+)",2020,6,27
2020-07-02,0.24992437978949,"Landsat7 (ETM+)",2020,7,2
2020-07-07,0.263692464231393,"Landsat7 (ETM+)",2020,7,7
2020-07-12,0.277320684242445,"Landsat7 (ETM+)",2020,7,12
2020-07-17,0.290682646882974,"Landsat7 (ETM+)",2020,7,17
2020-07-22,0.303651959213312,"Landsat7 (ETM+)",2020,7,22
2020-07-27,0.316102228293787,"Landsat7 (ETM+)",2020,7,27
2020-08-01,0.327907061184731,"Landsat7 (ETM+)",2020,8,1
2020-08-06,0.338940064946474,"Landsat7 (ETM+)",2020,8,6
2020-08-11,0.349074846639344,"Landsat7 (ETM+)",2020,8,11
2020-08-16,0.358185013323673,"Landsat7 (ETM+)",2020,8,16
2020-08-21,0.36614417205979,"Landsat7 (ETM+)",2020,8,21
2020-08-26,0.372825929908026,"Landsat7 (ETM+)",2020,8,26
2020-08-31,0.37810389392871,"Landsat7 (ETM+)",2020,8,31
2020-09-05,0.381851671182172,"Landsat7 (ETM+)",2020,9,5
2020-09-10,0.383864479091176,"Landsat7 (ETM+)",2020,9,10
2020-09-15,0.383437086667784,"Landsat7 (ETM+)",2020,9,15
2020-09-20,0.380687612450856,"Landsat7 (ETM+)",2020,9,20
2020-09-25,0.375937416865676,"Landsat7 (ETM+)",2020,9,25
2020-09-30,0.369507860337526,"Landsat7 (ETM+)",2020,9,30
2020-10-05,0.36172030329169,"Landsat7 (ETM+)",2020,10,5
2020-10-10,0.35289610615345,"Landsat7 (ETM+)",2020,10,10
2020-10-15,0.34335662934809,"Landsat7 (ETM+)",2020,10,15
2020-10-20,0.333423233300891,"Landsat7 (ETM+)",2020,10,20
2020-10-25,0.323417278437138,"Landsat7 (ETM+)",2020,10,25
2020-10-30,0.31179571361281,"Landsat7 (ETM+)",2020,10,30
2020-11-04,0.297076147970074,"Landsat7 (ETM+)",2020,11,4
2020-11-09,0.283218947559363,"Landsat7 (ETM+)",2020,11,9
2020-11-14,0.273088121638941,"Landsat7 (ETM+)",2020,11,14
2020-11-19,0.263973469291305,"Landsat7 (ETM+)",2020,11,19
2020-11-24,0.255497640733709,"Landsat7 (ETM+)",2020,11,24
2020-11-29,0.247725898345848,"Landsat7 (ETM+)",2020,11,29
2020-12-04,0.240723504507416,"Landsat7 (ETM+)",2020,12,4
2020-12-09,0.234555721598108,"Landsat7 (ETM+)",2020,12,9
2020-12-14,0.229287811997619,"Landsat7 (ETM+)",2020,12,14
2020-12-19,0.224985038085642,"Landsat7 (ETM+)",2020,12,19
2020-12-24,0.221712662241874,"Landsat7 (ETM+)",2020,12,24
2020-12-29,0.219535946846008,"Landsat7 (ETM+)",2020,12,29
2021-01-03,0.218424923795345,"Landsat7 (ETM+)",2021,1,3
2021-01-08,0.218003849499701,"Landsat7 (ETM+)",2021,1,8
2021-01-13,0.217819323107545,"Landsat7 (ETM+)",2021,1,13
2021-01-18,0.217592917699065,"Landsat7 (ETM+)",2021,1,18
2021-01-23,0.21704763371829,"Landsat7 (ETM+)",2021,1,23
2021-01-28,0.215401649599811,"Landsat7 (ETM+)",2021,1,28
2021-02-02,0.211814807603252,"Landsat7 (ETM+)",2021,2,2
2021-02-07,0.205865604210361,"Landsat7 (ETM+)",2021,2,7
2021-02-12,0.198014250951892,"Landsat7 (ETM+)",2021,2,12
2021-02-17,0.188775953666788,"Landsat7 (ETM+)",2021,2,17
2021-02-22,0.178665918193992,"Landsat7 (ETM+)",2021,2,22
2021-02-27,0.168199350372447,"Landsat7 (ETM+)",2021,2,27
2021-03-04,0.157810290983435,"Landsat7 (ETM+)",2021,3,4
2021-03-09,0.145551503759635,"Landsat7 (ETM+)",2021,3,9
2021-03-14,0.131443571471209,"Landsat7 (ETM+)",2021,3,14
2021-03-19,0.116901719942689,"Landsat7 (ETM+)",2021,3,19
2021-03-24,0.103341174998605,"Landsat7 (ETM+)",2021,3,24
2021-03-29,0.0921771624634858,"Landsat7 (ETM+)",2021,3,29
2021-04-03,0.0848249081618633,"Landsat7 (ETM+)",2021,4,3
2021-04-08,0.0832930864999071,"Landsat7 (ETM+)",2021,4,8
2021-04-13,0.0875935621570534,"Landsat7 (ETM+)",2021,4,13
2021-04-18,0.0943456270761089,"Landsat7 (ETM+)",2021,4,18
2021-04-23,0.100522913703116,"Landsat7 (ETM+)",2021,4,23
2021-04-28,0.106882089050486,"Landsat7 (ETM+)",2021,4,28
2021-05-03,0.115783069804365,"Landsat7 (ETM+)",2021,5,3
2021-05-08,0.129318699854593,"Landsat7 (ETM+)",2021,5,8
2021-05-13,0.146612732591734,"Landsat7 (ETM+)",2021,5,13
2021-05-18,0.166447863688517,"Landsat7 (ETM+)",2021,5,18
2021-05-23,0.187937663484604,"Landsat7 (ETM+)",2021,5,23
2021-05-28,0.210195702319652,"Landsat7 (ETM+)",2021,5,28
2021-06-02,0.232335550533321,"Landsat7 (ETM+)",2021,6,2
2021-06-07,0.253470778465271,"Landsat7 (ETM+)",2021,6,7
