date,year,month,day,median_ndvi,landsat
13-02-2020,2020,2,13,0.154892675578594,Landsat7 (ETM+)
29-02-2020,2020,2,29,0.16966113448143,Landsat7 (ETM+)
16-03-2020,2020,3,16,0.183120004832745,Landsat7 (ETM+)
"01-04-2020",2020,4,1,0.197635248303413,Landsat7 (ETM+)
17-04-2020,2020,4,17,0.162891298532486,Landsat7 (ETM+)
"03-05-2020",2020,5,3,0.146336995065212,Landsat7 (ETM+)
"08-09-2020",2020,9,8,0.329098403453827,Landsat7 (ETM+)
26-10-2020,2020,10,26,0.296565219759941,Landsat7 (ETM+)
11-11-2020,2020,11,11,0.246934875845909,Landsat7 (ETM+)
13-12-2020,2020,12,13,nan,Landsat7 (ETM+)
29-12-2020,2020,12,29,0.182905226945877,Landsat7 (ETM+)
14-01-2021,2021,1,14,0.154640033841133,Landsat7 (ETM+)
30-01-2021,2021,1,30,0.143618158996105,Landsat7 (ETM+)
15-02-2021,2021,2,15,0.150415882468224,Landsat7 (ETM+)
"03-03-2021",2021,3,3,0.122459318488836,Landsat7 (ETM+)
"04-04-2021",2021,4,4,0.114626593887806,Landsat7 (ETM+)
20-04-2021,2021,4,20,0.106970429420471,Landsat7 (ETM+)
"06-05-2021",2021,5,6,0.11248529702425,Landsat7 (ETM+)
"07-06-2021",2021,6,7,nan,Landsat7 (ETM+)
