date,year,month,day,median_ndvi,landsat
13-02-2020,2020,2,13,0.253184288740158,Landsat7 (ETM+)
29-02-2020,2020,2,29,0.235724613070488,Landsat7 (ETM+)
16-03-2020,2020,3,16,0.226537093520164,Landsat7 (ETM+)
"01-04-2020",2020,4,1,0.229790888726711,Landsat7 (ETM+)
17-04-2020,2020,4,17,0.20448511838913,Landsat7 (ETM+)
"03-05-2020",2020,5,3,0.207573175430298,Landsat7 (ETM+)
"08-09-2020",2020,9,8,0.348823487758636,Landsat7 (ETM+)
26-10-2020,2020,10,26,0.311766356229782,Landsat7 (ETM+)
11-11-2020,2020,11,11,0.296737164258957,Landsat7 (ETM+)
29-12-2020,2020,12,29,0.257592290639877,Landsat7 (ETM+)
14-01-2021,2021,1,14,0.242585331201553,Landsat7 (ETM+)
30-01-2021,2021,1,30,0.242625087499619,Landsat7 (ETM+)
15-02-2021,2021,2,15,0.209424078464508,Landsat7 (ETM+)
"03-03-2021",2021,3,3,0.208527654409409,Landsat7 (ETM+)
"04-04-2021",2021,4,4,0.174214377999306,Landsat7 (ETM+)
20-04-2021,2021,4,20,0.170453652739525,Landsat7 (ETM+)
"06-05-2021",2021,5,6,0.203800141811371,Landsat7 (ETM+)
"07-06-2021",2021,6,7,0.315441340208054,Landsat7 (ETM+)
