date,year,month,day,median_ndvi,landsat
13-02-2020,2020,2,13,0.226586386561394,Landsat7 (ETM+)
29-02-2020,2020,2,29,0.20324681699276,Landsat7 (ETM+)
16-03-2020,2020,3,16,0.184972688555717,Landsat7 (ETM+)
"01-04-2020",2020,4,1,0.147044166922569,Landsat7 (ETM+)
17-04-2020,2020,4,17,0.121657095849514,Landsat7 (ETM+)
"03-05-2020",2020,5,3,0.119804970920086,Landsat7 (ETM+)
"08-09-2020",2020,9,8,0.38331326842308,Landsat7 (ETM+)
26-10-2020,2020,10,26,0.321435660123825,Landsat7 (ETM+)
11-11-2020,2020,11,11,0.278836399316788,Landsat7 (ETM+)
13-12-2020,2020,12,13,nan,Landsat7 (ETM+)
29-12-2020,2020,12,29,0.219535946846008,Landsat7 (ETM+)
14-01-2021,2021,1,14,0.217770904302597,Landsat7 (ETM+)
30-01-2021,2021,1,30,0.214256972074509,Landsat7 (ETM+)
15-02-2021,2021,2,15,0.152551904320717,Landsat7 (ETM+)
"03-03-2021",2021,3,3,0.159915611147881,Landsat7 (ETM+)
"04-04-2021",2021,4,4,0.083936408162117,Landsat7 (ETM+)
20-04-2021,2021,4,20,0.0969600453972816,Landsat7 (ETM+)
"06-05-2021",2021,5,6,0.123311154544353,Landsat7 (ETM+)
"07-06-2021",2021,6,7,0.253470778465271,Landsat7 (ETM+)
