date,year,month,day,median_ndvi,landsat
13-02-2020,2020,2,13,0.233917012810707,Landsat7 (ETM+)
29-02-2020,2020,2,29,0.219443425536156,Landsat7 (ETM+)
16-03-2020,2020,3,16,0.208670854568481,Landsat7 (ETM+)
"01-04-2020",2020,4,1,0.205574326217175,Landsat7 (ETM+)
17-04-2020,2020,4,17,0.182388961315155,Landsat7 (ETM+)
"03-05-2020",2020,5,3,0.175786405801773,Landsat7 (ETM+)
"08-09-2020",2020,9,8,0.350595861673355,Landsat7 (ETM+)
26-10-2020,2020,10,26,0.299957349896431,Landsat7 (ETM+)
11-11-2020,2020,11,11,0.278248906135559,Landsat7 (ETM+)
29-12-2020,2020,12,29,0.234931647777557,Landsat7 (ETM+)
14-01-2021,2021,1,14,0.226248681545258,Landsat7 (ETM+)
30-01-2021,2021,1,30,0.227109238505363,Landsat7 (ETM+)
"03-03-2021",2021,3,3,0.186689078807831,Landsat7 (ETM+)
"04-04-2021",2021,4,4,0.136474475264549,Landsat7 (ETM+)
20-04-2021,2021,4,20,0.1393973082304,Landsat7 (ETM+)
"06-05-2021",2021,5,6,0.165120214223862,Landsat7 (ETM+)
"07-06-2021",2021,6,7,0.266767531633377,Landsat7 (ETM+)
