"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2020-02-13,0.226586386561394,"Landsat7 (ETM+)",2020,2,13,0.226586386561394,0.224995887875054
2020-02-18,0.219122727576178,"Landsat7 (ETM+)",2020,2,18,0.219122727576178,0.219225246874811
2020-02-23,0.211628151591868,"Landsat7 (ETM+)",2020,2,23,0.211628151591868,0.213109796419488
2020-02-28,0.204566413594876,"Landsat7 (ETM+)",2020,2,28,0.204566413594876,0.206649536509086
2020-03-04,0.198782770894468,"Landsat7 (ETM+)",2020,3,4,0.198782770894468,0.199844467143604
2020-03-09,0.194055288375239,"Landsat7 (ETM+)",2020,3,9,0.194055288375239,0.193784170267384
2020-03-14,0.188162820995785,"Landsat7 (ETM+)",2020,3,14,0.188162820995785,0.186367862326733
2020-03-19,0.178898374396339,"Landsat7 (ETM+)",2020,3,19,0.178898374396339,0.177255053055489
2020-03-24,0.166452986653894,"Landsat7 (ETM+)",2020,3,24,0.166452986653894,0.16652353189453
2020-03-29,0.153660287259299,"Landsat7 (ETM+)",2020,3,29,0.153660287259299,0.15482297620754
2020-04-03,0.143109771612216,"Landsat7 (ETM+)",2020,4,3,0.143109771612216,0.1434942027791
2020-04-08,0.133802324095086,"Landsat7 (ETM+)",2020,4,8,0.133802324095086,0.133758936364233
2020-04-13,0.126055122469552,"Landsat7 (ETM+)",2020,4,13,0.126055122469552,0.126136793019788
2020-04-18,0.120831227834628,"Landsat7 (ETM+)",2020,4,18,0.120831227834628,0.120758812716619
2020-04-23,0.117709911543898,"Landsat7 (ETM+)",2020,4,23,0.117709911543898,0.117842201356295
2020-04-28,0.117024328714138,"Landsat7 (ETM+)",2020,4,28,0.117024328714138,0.117700773611904
2020-05-03,0.119804970920086,"Landsat7 (ETM+)",2020,5,3,0.119804970920086,0.120242392503738
2020-05-08,0.125392779237952,"Landsat7 (ETM+)",2020,5,8,0.125392779237952,0.125130949960303
2020-05-13,0.132357438401006,"Landsat7 (ETM+)",2020,5,13,0.132357438401006,0.132032424636104
2020-05-18,0.140572555469579,"Landsat7 (ETM+)",2020,5,18,0.140572555469579,0.140454017076209
2020-05-23,0.149911737503999,"Landsat7 (ETM+)",2020,5,23,0.149911737503999,0.149911737503999
2020-05-28,0.160248591564597,"Landsat7 (ETM+)",2020,5,28,0.160248591564597,0.160248591564597
2020-06-02,0.171456724711703,"Landsat7 (ETM+)",2020,6,2,0.171456724711703,0.171456724711703
2020-06-07,0.183409744005647,"Landsat7 (ETM+)",2020,6,7,0.183409744005647,0.183409744005647
2020-06-12,0.19598125650676,"Landsat7 (ETM+)",2020,6,12,0.19598125650676,0.19598125650676
2020-06-17,0.20904486927537,"Landsat7 (ETM+)",2020,6,17,0.20904486927537,0.20904486927537
2020-06-22,0.222474189371809,"Landsat7 (ETM+)",2020,6,22,0.222474189371809,0.222474189371809
2020-06-27,0.236142823856406,"Landsat7 (ETM+)",2020,6,27,0.236142823856406,0.236142823856406
2020-07-02,0.24992437978949,"Landsat7 (ETM+)",2020,7,2,0.24992437978949,0.24992437978949
2020-07-07,0.263692464231393,"Landsat7 (ETM+)",2020,7,7,0.263692464231393,0.263692464231393
2020-07-12,0.277320684242445,"Landsat7 (ETM+)",2020,7,12,0.277320684242445,0.277320684242445
2020-07-17,0.290682646882974,"Landsat7 (ETM+)",2020,7,17,0.290682646882974,0.290682646882974
2020-07-22,0.303651959213312,"Landsat7 (ETM+)",2020,7,22,0.303651959213312,0.303651959213312
2020-07-27,0.316102228293787,"Landsat7 (ETM+)",2020,7,27,0.316102228293787,0.316102228293787
2020-08-01,0.327907061184731,"Landsat7 (ETM+)",2020,8,1,0.327907061184731,0.327907061184731
2020-08-06,0.338940064946474,"Landsat7 (ETM+)",2020,8,6,0.338940064946474,0.338940064946473
2020-08-11,0.349074846639344,"Landsat7 (ETM+)",2020,8,11,0.349074846639344,0.349074846639344
2020-08-16,0.358185013323673,"Landsat7 (ETM+)",2020,8,16,0.358185013323673,0.358185013323673
2020-08-21,0.36614417205979,"Landsat7 (ETM+)",2020,8,21,0.36614417205979,0.366151298390478
2020-08-26,0.372825929908026,"Landsat7 (ETM+)",2020,8,26,0.372825929908026,0.372895179653716
2020-08-31,0.37810389392871,"Landsat7 (ETM+)",2020,8,31,0.37810389392871,0.378219720149517
2020-09-05,0.381851671182172,"Landsat7 (ETM+)",2020,9,5,0.381851671182172,0.381856590209746
2020-09-10,0.383864479091176,"Landsat7 (ETM+)",2020,9,10,0.383864479091176,0.383551775383412
2020-09-15,0.383437086667784,"Landsat7 (ETM+)",2020,9,15,0.383437086667784,0.383131901095534
2020-09-20,0.380687612450856,"Landsat7 (ETM+)",2020,9,20,0.380687612450856,0.380551174043443
2020-09-25,0.375937416865676,"Landsat7 (ETM+)",2020,9,25,0.375937416865676,0.375918940330547
2020-09-30,0.369507860337526,"Landsat7 (ETM+)",2020,9,30,0.369507860337526,0.369507860337526
2020-10-05,0.36172030329169,"Landsat7 (ETM+)",2020,10,5,0.36172030329169,0.36172030329169
2020-10-10,0.35289610615345,"Landsat7 (ETM+)",2020,10,10,0.35289610615345,0.353065598114296
2020-10-15,0.34335662934809,"Landsat7 (ETM+)",2020,10,15,0.34335662934809,0.343916087979437
2020-10-20,0.333423233300891,"Landsat7 (ETM+)",2020,10,20,0.333423233300891,0.333838225575191
2020-10-25,0.323417278437138,"Landsat7 (ETM+)",2020,10,25,0.323417278437138,0.32240240132024
2020-10-30,0.31179571361281,"Landsat7 (ETM+)",2020,10,30,0.31179571361281,0.310076201784302
2020-11-04,0.297076147970074,"Landsat7 (ETM+)",2020,11,4,0.297076147970074,0.297444195675635
2020-11-09,0.283218947559363,"Landsat7 (ETM+)",2020,11,9,0.283218947559363,0.285084258450043
2020-11-14,0.273088121638941,"Landsat7 (ETM+)",2020,11,14,0.273088121638941,0.273581444033189
2020-11-19,0.263973469291305,"Landsat7 (ETM+)",2020,11,19,0.263973469291305,0.263552943038393
2020-11-24,0.255497640733709,"Landsat7 (ETM+)",2020,11,24,0.255497640733709,0.255151438460113
2020-11-29,0.247725898345848,"Landsat7 (ETM+)",2020,11,29,0.247725898345848,0.247685660876535
2020-12-04,0.240723504507416,"Landsat7 (ETM+)",2020,12,4,0.240723504507416,0.240723504507416
2020-12-09,0.234555721598108,"Landsat7 (ETM+)",2020,12,9,0.234555721598108,0.234555721598108
2020-12-14,0.229287811997619,"Landsat7 (ETM+)",2020,12,14,0.229287811997619,0.2292964693142
2020-12-19,0.224985038085642,"Landsat7 (ETM+)",2020,12,19,0.224985038085642,0.225045329942806
2020-12-24,0.221712662241874,"Landsat7 (ETM+)",2020,12,24,0.221712662241874,0.22187191155827
2020-12-29,0.219535946846008,"Landsat7 (ETM+)",2020,12,29,0.219535946846008,0.21974456966227
2021-01-03,0.218424923795345,"Landsat7 (ETM+)",2021,1,3,0.218424923795345,0.218523869940142
2021-01-08,0.218003849499701,"Landsat7 (ETM+)",2021,1,8,0.218003849499701,0.218017168279411
2021-01-13,0.217819323107545,"Landsat7 (ETM+)",2021,1,13,0.217819323107545,0.217930929517767
2021-01-18,0.217592917699065,"Landsat7 (ETM+)",2021,1,18,0.217592917699065,0.217807514913929
2021-01-23,0.21704763371829,"Landsat7 (ETM+)",2021,1,23,0.21704763371829,0.217022501313803
2021-01-28,0.215401649599811,"Landsat7 (ETM+)",2021,1,28,0.215401649599811,0.214984613344396
2021-02-02,0.211814807603252,"Landsat7 (ETM+)",2021,2,2,0.211814807603252,0.211237631983844
2021-02-07,0.205865604210361,"Landsat7 (ETM+)",2021,2,7,0.205865604210361,0.20553298023834
2021-02-12,0.198014250951892,"Landsat7 (ETM+)",2021,2,12,0.198014250951892,0.197924808738076
2021-02-17,0.188775953666788,"Landsat7 (ETM+)",2021,2,17,0.188775953666788,0.189012029387935
2021-02-22,0.178665918193992,"Landsat7 (ETM+)",2021,2,22,0.178665918193992,0.179249031506746
2021-02-27,0.168199350372447,"Landsat7 (ETM+)",2021,2,27,0.168199350372447,0.168686335557988
2021-03-04,0.157810290983435,"Landsat7 (ETM+)",2021,3,4,0.157810290983435,0.157136999453118
2021-03-09,0.145551503759635,"Landsat7 (ETM+)",2021,3,9,0.145551503759635,0.144477371872814
2021-03-14,0.131443571471209,"Landsat7 (ETM+)",2021,3,14,0.131443571471209,0.130842059724054
2021-03-19,0.116901719942689,"Landsat7 (ETM+)",2021,3,19,0.116901719942689,0.116720984339416
2021-03-24,0.103341174998605,"Landsat7 (ETM+)",2021,3,24,0.103341174998605,0.103342870252053
2021-03-29,0.0921771624634858,"Landsat7 (ETM+)",2021,3,29,0.0921771624634858,0.0927952322533214
2021-04-03,0.0848249081618633,"Landsat7 (ETM+)",2021,4,3,0.0848249081618633,0.0866349975941393
2021-04-08,0.0832930864999071,"Landsat7 (ETM+)",2021,4,8,0.0832930864999071,0.0850818854793404
2021-04-13,0.0875935621570534,"Landsat7 (ETM+)",2021,4,13,0.0875935621570534,0.0873346152962703
2021-04-18,0.0943456270761089,"Landsat7 (ETM+)",2021,4,18,0.0943456270761089,0.0922017840833439
2021-04-23,0.100522913703116,"Landsat7 (ETM+)",2021,4,23,0.100522913703116,0.0988970206881071
2021-04-28,0.106882089050486,"Landsat7 (ETM+)",2021,4,28,0.106882089050486,0.107116031542018
2021-05-03,0.115783069804365,"Landsat7 (ETM+)",2021,5,3,0.115783069804365,0.117269640939658
2021-05-08,0.129318699854593,"Landsat7 (ETM+)",2021,5,8,0.129318699854593,0.130312229181595
2021-05-13,0.146612732591734,"Landsat7 (ETM+)",2021,5,13,0.146612732591734,0.146821279578904
2021-05-18,0.166447863688517,"Landsat7 (ETM+)",2021,5,18,0.166447863688517,0.166378603885009
2021-05-23,0.187937663484604,"Landsat7 (ETM+)",2021,5,23,0.187937663484604,0.18622306805995
2021-05-28,0.210195702319652,"Landsat7 (ETM+)",2021,5,28,0.210195702319652,0.207786756062473
2021-06-02,0.232335550533321,"Landsat7 (ETM+)",2021,6,2,0.232335550533321,0.231069667892578
2021-06-07,0.253470778465271,"Landsat7 (ETM+)",2021,6,7,0.253470778465271,0.256071803550266
