"date","median_ndvi","landsat","year","month","day"
2020-02-05,0.173783749341965,"Landsat8/9 (OLI)",2020,2,5
2020-02-10,0.173437251360156,"Landsat8/9 (OLI)",2020,2,10
2020-02-15,0.173035450279713,"Landsat8/9 (OLI)",2020,2,15
2020-02-20,0.173407892580144,"Landsat8/9 (OLI)",2020,2,20
2020-02-25,0.17489750898676,"Landsat8/9 (OLI)",2020,2,25
2020-03-01,0.177162109162054,"Landsat8/9 (OLI)",2020,3,1
2020-03-06,0.180691620153084,"Landsat8/9 (OLI)",2020,3,6
2020-03-11,0.186568917986733,"Landsat8/9 (OLI)",2020,3,11
2020-03-16,0.195544899441302,"Landsat8/9 (OLI)",2020,3,16
2020-03-21,0.203624272642628,"Landsat8/9 (OLI)",2020,3,21
2020-03-26,0.2066361459365,"Landsat8/9 (OLI)",2020,3,26
2020-03-31,0.204475367173473,"Landsat8/9 (OLI)",2020,3,31
2020-04-05,0.200040388677735,"Landsat8/9 (OLI)",2020,4,5
2020-04-10,0.196082055615193,"Landsat8/9 (OLI)",2020,4,10
2020-04-15,0.191172160429233,"Landsat8/9 (OLI)",2020,4,15
2020-04-20,0.184916534511445,"Landsat8/9 (OLI)",2020,4,20
2020-04-25,0.178666229825467,"Landsat8/9 (OLI)",2020,4,25
2020-04-30,0.173772298334939,"Landsat8/9 (OLI)",2020,4,30
2020-05-05,0.171585792003498,"Landsat8/9 (OLI)",2020,5,5
2020-05-10,0.173457762794783,"Landsat8/9 (OLI)",2020,5,10
2020-05-15,0.180602444114629,"Landsat8/9 (OLI)",2020,5,15
2020-05-20,0.192544801932672,"Landsat8/9 (OLI)",2020,5,20
2020-05-25,0.207787327669212,"Landsat8/9 (OLI)",2020,5,25
2020-05-30,0.224822003438749,"Landsat8/9 (OLI)",2020,5,30
2020-06-04,0.242140811355785,"Landsat8/9 (OLI)",2020,6,4
2020-06-09,0.258235733534821,"Landsat8/9 (OLI)",2020,6,9
2020-06-14,0.272014516308933,"Landsat8/9 (OLI)",2020,6,14
2020-06-19,0.286211645959844,"Landsat8/9 (OLI)",2020,6,19
2020-06-24,0.301396055838792,"Landsat8/9 (OLI)",2020,6,24
2020-06-29,0.317274070342133,"Landsat8/9 (OLI)",2020,6,29
