"date","median_ndvi","landsat","year","month","day"
2020-02-05,0.265442103147507,"Landsat8/9 (OLI)",2020,2,5
2020-02-10,0.260081683446514,"Landsat8/9 (OLI)",2020,2,10
2020-02-15,0.254604110676152,"Landsat8/9 (OLI)",2020,2,15
2020-02-20,0.250766680876949,"Landsat8/9 (OLI)",2020,2,20
2020-02-25,0.249261137327537,"Landsat8/9 (OLI)",2020,2,25
2020-03-01,0.248580341080612,"Landsat8/9 (OLI)",2020,3,1
2020-03-06,0.248452730264307,"Landsat8/9 (OLI)",2020,3,6
2020-03-11,0.249069247693868,"Landsat8/9 (OLI)",2020,3,11
2020-03-16,0.251067986435244,"Landsat8/9 (OLI)",2020,3,16
2020-03-21,0.252529374095046,"Landsat8/9 (OLI)",2020,3,21
2020-03-26,0.251243963262823,"Landsat8/9 (OLI)",2020,3,26
2020-03-31,0.246391055398817,"Landsat8/9 (OLI)",2020,3,31
2020-04-05,0.241027331154328,"Landsat8/9 (OLI)",2020,4,5
2020-04-10,0.238561503300389,"Landsat8/9 (OLI)",2020,4,10
2020-04-15,0.237942628878954,"Landsat8/9 (OLI)",2020,4,15
2020-04-20,0.23802107336769,"Landsat8/9 (OLI)",2020,4,20
2020-04-25,0.239160632714629,"Landsat8/9 (OLI)",2020,4,25
2020-04-30,0.241725102867803,"Landsat8/9 (OLI)",2020,4,30
2020-05-05,0.246078279775247,"Landsat8/9 (OLI)",2020,5,5
2020-05-10,0.252583959384992,"Landsat8/9 (OLI)",2020,5,10
2020-05-15,0.262104708090191,"Landsat8/9 (OLI)",2020,5,15
2020-05-20,0.275133110351362,"Landsat8/9 (OLI)",2020,5,20
2020-05-25,0.290408716700767,"Landsat8/9 (OLI)",2020,5,25
2020-05-30,0.306628794326116,"Landsat8/9 (OLI)",2020,5,30
2020-06-04,0.322490610415116,"Landsat8/9 (OLI)",2020,6,4
2020-06-09,0.336691432155476,"Landsat8/9 (OLI)",2020,6,9
2020-06-14,0.348208294954222,"Landsat8/9 (OLI)",2020,6,14
2020-06-19,0.358728215066953,"Landsat8/9 (OLI)",2020,6,19
2020-06-24,0.368734405899886,"Landsat8/9 (OLI)",2020,6,24
2020-06-29,0.378154419454606,"Landsat8/9 (OLI)",2020,6,29
2020-07-04,0.386915807732697,"Landsat8/9 (OLI)",2020,7,4
2020-07-09,0.394946122735746,"Landsat8/9 (OLI)",2020,7,9
2020-07-14,0.402172916465335,"Landsat8/9 (OLI)",2020,7,14
2020-07-19,0.40852374092305,"Landsat8/9 (OLI)",2020,7,19
2020-07-24,0.413926148110476,"Landsat8/9 (OLI)",2020,7,24
2020-07-29,0.418307690029198,"Landsat8/9 (OLI)",2020,7,29
2020-08-03,0.421421670500421,"Landsat8/9 (OLI)",2020,8,3
2020-08-08,0.422978852333926,"Landsat8/9 (OLI)",2020,8,8
2020-08-13,0.423158206333028,"Landsat8/9 (OLI)",2020,8,13
2020-08-18,0.422151354277502,"Landsat8/9 (OLI)",2020,8,18
2020-08-23,0.420149917947128,"Landsat8/9 (OLI)",2020,8,23
2020-08-28,0.417345519121681,"Landsat8/9 (OLI)",2020,8,28
2020-09-02,0.413817937711428,"Landsat8/9 (OLI)",2020,9,2
2020-09-07,0.40868214371676,"Landsat8/9 (OLI)",2020,9,7
2020-09-12,0.401756928127724,"Landsat8/9 (OLI)",2020,9,12
2020-09-17,0.393022237447439,"Landsat8/9 (OLI)",2020,9,17
2020-09-22,0.380770848249085,"Landsat8/9 (OLI)",2020,9,22
2020-09-27,0.367318231918034,"Landsat8/9 (OLI)",2020,9,27
2020-10-02,0.356730997562408,"Landsat8/9 (OLI)",2020,10,2
2020-10-07,0.351416308826325,"Landsat8/9 (OLI)",2020,10,7
2020-10-12,0.348911745866644,"Landsat8/9 (OLI)",2020,10,12
2020-10-17,0.345979542560599,"Landsat8/9 (OLI)",2020,10,17
2020-10-22,0.340762835155517,"Landsat8/9 (OLI)",2020,10,22
2020-10-27,0.334726140381463,"Landsat8/9 (OLI)",2020,10,27
2020-11-01,0.328128758828152,"Landsat8/9 (OLI)",2020,11,1
2020-11-06,0.321166575695989,"Landsat8/9 (OLI)",2020,11,6
2020-11-11,0.314035476185381,"Landsat8/9 (OLI)",2020,11,11
2020-11-16,0.306931345496735,"Landsat8/9 (OLI)",2020,11,16
2020-11-21,0.300050068830455,"Landsat8/9 (OLI)",2020,11,21
2020-11-26,0.293587531386947,"Landsat8/9 (OLI)",2020,11,26
2020-12-01,0.287739618366619,"Landsat8/9 (OLI)",2020,12,1
2020-12-06,0.282723311554946,"Landsat8/9 (OLI)",2020,12,6
2020-12-11,0.279140322862077,"Landsat8/9 (OLI)",2020,12,11
2020-12-16,0.276443296180636,"Landsat8/9 (OLI)",2020,12,16
2020-12-21,0.273618280887604,"Landsat8/9 (OLI)",2020,12,21
2020-12-26,0.270260588419433,"Landsat8/9 (OLI)",2020,12,26
2020-12-31,0.26672712792606,"Landsat8/9 (OLI)",2020,12,31
2021-01-05,0.263146345354698,"Landsat8/9 (OLI)",2021,1,5
2021-01-10,0.259646686652559,"Landsat8/9 (OLI)",2021,1,10
2021-01-15,0.256356597766853,"Landsat8/9 (OLI)",2021,1,15
2021-01-20,0.253404524644793,"Landsat8/9 (OLI)",2021,1,20
2021-01-25,0.251014149921502,"Landsat8/9 (OLI)",2021,1,25
2021-01-30,0.249362655449658,"Landsat8/9 (OLI)",2021,1,30
2021-02-04,0.247838818745549,"Landsat8/9 (OLI)",2021,2,4
2021-02-09,0.245867083431221,"Landsat8/9 (OLI)",2021,2,9
2021-02-14,0.243761119054397,"Landsat8/9 (OLI)",2021,2,14
2021-02-19,0.241268270183354,"Landsat8/9 (OLI)",2021,2,19
2021-02-24,0.237891339327689,"Landsat8/9 (OLI)",2021,2,24
2021-03-01,0.23269993053691,"Landsat8/9 (OLI)",2021,3,1
2021-03-06,0.227075211731062,"Landsat8/9 (OLI)",2021,3,6
2021-03-11,0.223219163715839,"Landsat8/9 (OLI)",2021,3,11
2021-03-16,0.222705150479669,"Landsat8/9 (OLI)",2021,3,16
2021-03-21,0.223978967449511,"Landsat8/9 (OLI)",2021,3,21
2021-03-26,0.224551242588859,"Landsat8/9 (OLI)",2021,3,26
2021-03-31,0.222362772909953,"Landsat8/9 (OLI)",2021,3,31
2021-04-05,0.218488717934697,"Landsat8/9 (OLI)",2021,4,5
2021-04-10,0.215391515592249,"Landsat8/9 (OLI)",2021,4,10
2021-04-15,0.214793046273844,"Landsat8/9 (OLI)",2021,4,15
2021-04-20,0.215199383491126,"Landsat8/9 (OLI)",2021,4,20
2021-04-25,0.216710869873322,"Landsat8/9 (OLI)",2021,4,25
2021-04-30,0.22045069761237,"Landsat8/9 (OLI)",2021,4,30
2021-05-05,0.232116823365989,"Landsat8/9 (OLI)",2021,5,5
2021-05-10,0.249202008050336,"Landsat8/9 (OLI)",2021,5,10
2021-05-15,0.267382250887749,"Landsat8/9 (OLI)",2021,5,15
2021-05-20,0.287722021632362,"Landsat8/9 (OLI)",2021,5,20
2021-05-25,0.309841432674147,"Landsat8/9 (OLI)",2021,5,25
2021-05-30,0.331078067421913,"Landsat8/9 (OLI)",2021,5,30
2021-06-04,0.35039076026078,"Landsat8/9 (OLI)",2021,6,4
2021-06-09,0.368954091129126,"Landsat8/9 (OLI)",2021,6,9
2021-06-14,0.387429261765647,"Landsat8/9 (OLI)",2021,6,14
