"date","median_ndvi","landsat","year","month","day"
2020-02-05,0.250666841864586,"Landsat8/9 (OLI)",2020,2,5
2020-02-10,0.23462071544418,"Landsat8/9 (OLI)",2020,2,10
2020-02-15,0.218264767288929,"Landsat8/9 (OLI)",2020,2,15
2020-02-20,0.20624632342151,"Landsat8/9 (OLI)",2020,2,20
2020-02-25,0.202920497045852,"Landsat8/9 (OLI)",2020,2,25
2020-03-01,0.206256162187856,"Landsat8/9 (OLI)",2020,3,1
2020-03-06,0.209705977918929,"Landsat8/9 (OLI)",2020,3,6
2020-03-11,0.2081403731936,"Landsat8/9 (OLI)",2020,3,11
2020-03-16,0.203920280560851,"Landsat8/9 (OLI)",2020,3,16
2020-03-21,0.197719697003776,"Landsat8/9 (OLI)",2020,3,21
2020-03-26,0.189264398417435,"Landsat8/9 (OLI)",2020,3,26
2020-03-31,0.176292739546625,"Landsat8/9 (OLI)",2020,3,31
2020-04-05,0.163479078095406,"Landsat8/9 (OLI)",2020,4,5
2020-04-10,0.156744104236623,"Landsat8/9 (OLI)",2020,4,10
2020-04-15,0.154900982048275,"Landsat8/9 (OLI)",2020,4,15
2020-04-20,0.155593696025335,"Landsat8/9 (OLI)",2020,4,20
2020-04-25,0.15858450345695,"Landsat8/9 (OLI)",2020,4,25
2020-04-30,0.16363566163227,"Landsat8/9 (OLI)",2020,4,30
2020-05-05,0.170509427840443,"Landsat8/9 (OLI)",2020,5,5
2020-05-10,0.178968059370618,"Landsat8/9 (OLI)",2020,5,10
2020-05-15,0.188182232668623,"Landsat8/9 (OLI)",2020,5,15
2020-05-20,0.199675021631265,"Landsat8/9 (OLI)",2020,5,20
2020-05-25,0.218655189528363,"Landsat8/9 (OLI)",2020,5,25
2020-05-30,0.253023994381089,"Landsat8/9 (OLI)",2020,5,30
2020-06-04,0.306119491244038,"Landsat8/9 (OLI)",2020,6,4
2020-06-09,0.355392656258837,"Landsat8/9 (OLI)",2020,6,9
2020-06-14,0.379741935378612,"Landsat8/9 (OLI)",2020,6,14
2020-06-19,0.394303089172206,"Landsat8/9 (OLI)",2020,6,19
2020-06-24,0.405654876121486,"Landsat8/9 (OLI)",2020,6,24
2020-06-29,0.414208232394612,"Landsat8/9 (OLI)",2020,6,29
2020-07-04,0.420374094159741,"Landsat8/9 (OLI)",2020,7,4
2020-07-09,0.424563397585032,"Landsat8/9 (OLI)",2020,7,9
2020-07-14,0.427187078838643,"Landsat8/9 (OLI)",2020,7,14
2020-07-19,0.428656074088733,"Landsat8/9 (OLI)",2020,7,19
2020-07-24,0.429381319503458,"Landsat8/9 (OLI)",2020,7,24
