date,year,month,day,median_ndvi,landsat
"05-02-2020",2020,2,5,0.176548853516579,Landsat8/9 (OLI)
21-02-2020,2020,2,21,0.173617549240589,Landsat8/9 (OLI)
"08-03-2020",2020,3,8,0.188163086771965,Landsat8/9 (OLI)
24-03-2020,2020,3,24,0.209483429789543,Landsat8/9 (OLI)
"09-04-2020",2020,4,9,0.191633522510529,Landsat8/9 (OLI)
11-05-2020,2020,5,11,0.173454195261002,Landsat8/9 (OLI)
12-06-2020,2020,6,12,0.263641700148582,Landsat8/9 (OLI)
30-07-2020,2020,7,30,0.461548149585724,Landsat8/9 (OLI)
31-08-2020,2020,8,31,0.413271129131317,Landsat8/9 (OLI)
16-09-2020,2020,9,16,0.426941126585007,Landsat8/9 (OLI)
"02-10-2020",2020,10,2,0.344871908426285,Landsat8/9 (OLI)
18-10-2020,2020,10,18,0.320773050189018,Landsat8/9 (OLI)
19-11-2020,2020,11,19,nan,Landsat8/9 (OLI)
"05-12-2020",2020,12,5,0.2083555534482,Landsat8/9 (OLI)
21-12-2020,2020,12,21,0.184392847120762,Landsat8/9 (OLI)
"06-01-2021",2021,1,6,nan,Landsat8/9 (OLI)
22-01-2021,2021,1,22,0.151949882507324,Landsat8/9 (OLI)
"07-02-2021",2021,2,7,0.143975615501404,Landsat8/9 (OLI)
23-02-2021,2021,2,23,0.134795859456062,Landsat8/9 (OLI)
11-03-2021,2021,3,11,0.144699193537235,Landsat8/9 (OLI)
27-03-2021,2021,3,27,0.137715548276901,Landsat8/9 (OLI)
12-04-2021,2021,4,12,0.1462392359972,Landsat8/9 (OLI)
28-04-2021,2021,4,28,0.13606658577919,Landsat8/9 (OLI)
14-05-2021,2021,5,14,0.145874917507172,Landsat8/9 (OLI)
30-05-2021,2021,5,30,0.195158213376999,Landsat8/9 (OLI)
15-06-2021,2021,6,15,0.297068417072296,Landsat8/9 (OLI)
