date,year,month,day,median_ndvi,landsat
"05-02-2020",2020,2,5,0.265442103147507,Landsat8/9 (OLI)
21-02-2020,2020,2,21,0.250350654125214,Landsat8/9 (OLI)
"08-03-2020",2020,3,8,0.248507715761662,Landsat8/9 (OLI)
24-03-2020,2020,3,24,0.252252638339996,Landsat8/9 (OLI)
"09-04-2020",2020,4,9,0.238736942410469,Landsat8/9 (OLI)
11-05-2020,2020,5,11,0.254175409674644,Landsat8/9 (OLI)
27-05-2020,2020,5,27,0.265045031905174,Landsat8/9 (OLI)
12-06-2020,2020,6,12,0.343872711062431,Landsat8/9 (OLI)
30-07-2020,2020,7,30,0.419055119156837,Landsat8/9 (OLI)
31-08-2020,2020,8,31,0.415357172489166,Landsat8/9 (OLI)
16-09-2020,2020,9,16,0.394970506429672,Landsat8/9 (OLI)
"02-10-2020",2020,10,2,0.356730997562408,Landsat8/9 (OLI)
18-10-2020,2020,10,18,0.345056861639023,Landsat8/9 (OLI)
19-11-2020,2020,11,19,nan,Landsat8/9 (OLI)
"05-12-2020",2020,12,5,0.283635452389717,Landsat8/9 (OLI)
21-12-2020,2020,12,21,0.273618280887604,Landsat8/9 (OLI)
"06-01-2021",2021,1,6,0.193011775612831,Landsat8/9 (OLI)
22-01-2021,2021,1,22,0.252347111701965,Landsat8/9 (OLI)
"07-02-2021",2021,2,7,0.246705003082752,Landsat8/9 (OLI)
23-02-2021,2021,2,23,0.238683849573135,Landsat8/9 (OLI)
11-03-2021,2021,3,11,0.223219163715839,Landsat8/9 (OLI)
27-03-2021,2021,3,27,0.224362447857857,Landsat8/9 (OLI)
12-04-2021,2021,4,12,0.214923121035099,Landsat8/9 (OLI)
28-04-2021,2021,4,28,0.218304827809334,Landsat8/9 (OLI)
14-05-2021,2021,5,14,0.263762146234512,Landsat8/9 (OLI)
30-05-2021,2021,5,30,0.331078067421913,Landsat8/9 (OLI)
15-06-2021,2021,6,15,0.391171902418137,Landsat8/9 (OLI)
