date,year,month,day,median_ndvi,landsat
"05-02-2020",2020,2,5,0.250666841864586,Landsat8/9 (OLI)
21-02-2020,2020,2,21,0.204772099852562,Landsat8/9 (OLI)
"08-03-2020",2020,3,8,0.209638550877571,Landsat8/9 (OLI)
24-03-2020,2020,3,24,0.193131953477859,Landsat8/9 (OLI)
"09-04-2020",2020,4,9,0.157437950372696,Landsat8/9 (OLI)
11-05-2020,2020,5,11,0.180829048156738,Landsat8/9 (OLI)
27-05-2020,2020,5,27,0.22952701151371,Landsat8/9 (OLI)
12-06-2020,2020,6,12,0.3729268014431,Landsat8/9 (OLI)
30-07-2020,2020,7,30,0.429848462343216,Landsat8/9 (OLI)
31-08-2020,2020,8,31,0.398964837193489,Landsat8/9 (OLI)
16-09-2020,2020,9,16,0.404819086194038,Landsat8/9 (OLI)
"02-10-2020",2020,10,2,0.36979466676712,Landsat8/9 (OLI)
18-10-2020,2020,10,18,0.365136384963989,Landsat8/9 (OLI)
"05-12-2020",2020,12,5,0.278897494077682,Landsat8/9 (OLI)
21-12-2020,2020,12,21,0.262967884540558,Landsat8/9 (OLI)
"06-01-2021",2021,1,6,0.24606628715992,Landsat8/9 (OLI)
22-01-2021,2021,1,22,0.21978498250246,Landsat8/9 (OLI)
"07-02-2021",2021,2,7,0.211197398602962,Landsat8/9 (OLI)
23-02-2021,2021,2,23,0.191743783652782,Landsat8/9 (OLI)
11-03-2021,2021,3,11,0.163786388933659,Landsat8/9 (OLI)
27-03-2021,2021,3,27,0.14504174888134,Landsat8/9 (OLI)
12-04-2021,2021,4,12,0.134998798370361,Landsat8/9 (OLI)
28-04-2021,2021,4,28,0.139523208141327,Landsat8/9 (OLI)
14-05-2021,2021,5,14,0.183670446276665,Landsat8/9 (OLI)
30-05-2021,2021,5,30,0.236363634467125,Landsat8/9 (OLI)
15-06-2021,2021,6,15,0.340151205658913,Landsat8/9 (OLI)
