"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2020-02-05,0.250666841864586,"Landsat8/9 (OLI)",2020,2,5,0.250666841864586,0.248005467650838
2020-02-10,0.23462071544418,"Landsat8/9 (OLI)",2020,2,10,0.23462071544418,0.233181028887912
2020-02-15,0.218264767288929,"Landsat8/9 (OLI)",2020,2,15,0.218264767288929,0.221241977333725
2020-02-20,0.20624632342151,"Landsat8/9 (OLI)",2020,2,20,0.20624632342151,0.212188312988277
2020-02-25,0.202920497045852,"Landsat8/9 (OLI)",2020,2,25,0.202920497045852,0.206020035851568
2020-03-01,0.206256162187856,"Landsat8/9 (OLI)",2020,3,1,0.206256162187856,0.205382971401129
2020-03-06,0.209705977918929,"Landsat8/9 (OLI)",2020,3,6,0.209705977918929,0.206555271604317
2020-03-11,0.2081403731936,"Landsat8/9 (OLI)",2020,3,11,0.2081403731936,0.207049466229261
2020-03-16,0.203920280560851,"Landsat8/9 (OLI)",2020,3,16,0.203920280560851,0.204194279511615
2020-03-21,0.197719697003776,"Landsat8/9 (OLI)",2020,3,21,0.197719697003776,0.196934681273617
2020-03-26,0.189264398417435,"Landsat8/9 (OLI)",2020,3,26,0.189264398417435,0.186768322911931
2020-03-31,0.176292739546625,"Landsat8/9 (OLI)",2020,3,31,0.176292739546625,0.176011211412338
2020-04-05,0.163479078095406,"Landsat8/9 (OLI)",2020,4,5,0.163479078095406,0.166170961247276
2020-04-10,0.156744104236623,"Landsat8/9 (OLI)",2020,4,10,0.156744104236623,0.158724755324287
2020-04-15,0.154900982048275,"Landsat8/9 (OLI)",2020,4,15,0.154900982048275,0.154846866236472
2020-04-20,0.155593696025335,"Landsat8/9 (OLI)",2020,4,20,0.155593696025335,0.155058084231617
2020-04-25,0.15858450345695,"Landsat8/9 (OLI)",2020,4,25,0.15858450345695,0.158445713279599
2020-04-30,0.16363566163227,"Landsat8/9 (OLI)",2020,4,30,0.16363566163227,0.163601074240763
2020-05-05,0.170509427840443,"Landsat8/9 (OLI)",2020,5,5,0.170509427840443,0.169756027401396
2020-05-10,0.178968059370618,"Landsat8/9 (OLI)",2020,5,10,0.178968059370618,0.176614571519019
2020-05-15,0.188182232668623,"Landsat8/9 (OLI)",2020,5,15,0.188182232668623,0.185287227161905
2020-05-20,0.199675021631265,"Landsat8/9 (OLI)",2020,5,20,0.199675021631265,0.200740031873021
2020-05-25,0.218655189528363,"Landsat8/9 (OLI)",2020,5,25,0.218655189528363,0.227488924981154
2020-05-30,0.253023994381089,"Landsat8/9 (OLI)",2020,5,30,0.253023994381089,0.263316589182553
2020-06-04,0.306119491244038,"Landsat8/9 (OLI)",2020,6,4,0.306119491244038,0.303455200242349
2020-06-09,0.355392656258837,"Landsat8/9 (OLI)",2020,6,9,0.355392656258837,0.342420920346439
2020-06-14,0.379741935378612,"Landsat8/9 (OLI)",2020,6,14,0.379741935378612,0.374758359243634
2020-06-19,0.394303089172206,"Landsat8/9 (OLI)",2020,6,19,0.394303089172206,0.396672379671058
2020-06-24,0.405654876121486,"Landsat8/9 (OLI)",2020,6,24,0.405654876121486,0.408301822466881
2020-06-29,0.414208232394612,"Landsat8/9 (OLI)",2020,6,29,0.414208232394612,0.41476894351404
2020-07-04,0.420374094159741,"Landsat8/9 (OLI)",2020,7,4,0.420374094159741,0.420374094159741
2020-07-09,0.424563397585032,"Landsat8/9 (OLI)",2020,7,9,0.424563397585032,0.424563397585032
2020-07-14,0.427187078838643,"Landsat8/9 (OLI)",2020,7,14,0.427187078838643,0.42731024704335
2020-07-19,0.428656074088733,"Landsat8/9 (OLI)",2020,7,19,0.428656074088733,0.429156263196311
2020-07-24,0.429381319503458,"Landsat8/9 (OLI)",2020,7,24,0.429381319503458,0.430073617679861
2020-07-29,0.429773751250979,"Landsat8/9 (OLI)",2020,7,29,0.429773751250979,0.429730407838626
2020-08-03,0.428889455247673,"Landsat8/9 (OLI)",2020,8,3,0.428889455247673,0.427745460373999
2020-08-08,0.42479860473249,"Landsat8/9 (OLI)",2020,8,8,0.42479860473249,0.423906770096027
2020-08-13,0.418661886640845,"Landsat8/9 (OLI)",2020,8,13,0.418661886640845,0.418327994814886
2020-08-18,0.411730266242903,"Landsat8/9 (OLI)",2020,8,18,0.411730266242903,0.411631962397196
2020-08-23,0.405254708808829,"Landsat8/9 (OLI)",2020,8,23,0.405254708808829,0.405664712351009
2020-08-28,0.400486179608789,"Landsat8/9 (OLI)",2020,8,28,0.400486179608789,0.402360349887129
2020-09-02,0.398957012519531,"Landsat8/9 (OLI)",2020,9,2,0.398957012519531,0.402143132329536
2020-09-07,0.402252710030552,"Landsat8/9 (OLI)",2020,9,7,0.402252710030552,0.403124715935552
2020-09-12,0.405730678874533,"Landsat8/9 (OLI)",2020,9,12,0.405730678874533,0.402406982771524
2020-09-17,0.403663715105762,"Landsat8/9 (OLI)",2020,9,17,0.403663715105762,0.398279803394331
2020-09-22,0.392540307148981,"Landsat8/9 (OLI)",2020,9,22,0.392540307148981,0.391074451705522
2020-09-27,0.378517922483109,"Landsat8/9 (OLI)",2020,9,27,0.378517922483109,0.382145502931829
2020-10-02,0.36979466676712,"Landsat8/9 (OLI)",2020,10,2,0.36979466676712,0.373964912497718
2020-10-07,0.367739345651456,"Landsat8/9 (OLI)",2020,10,7,0.367739345651456,0.368488232413796
2020-10-12,0.366988962108373,"Landsat8/9 (OLI)",2020,10,12,0.366988962108373,0.365944222439017
2020-10-17,0.365643917779568,"Landsat8/9 (OLI)",2020,10,17,0.365643917779568,0.364302159788618
2020-10-22,0.361975577934289,"Landsat8/9 (OLI)",2020,10,22,0.361975577934289,0.361126817524952
2020-10-27,0.355750086157844,"Landsat8/9 (OLI)",2020,10,27,0.355750086157844,0.355381005744268
2020-11-01,0.34749403906933,"Landsat8/9 (OLI)",2020,11,1,0.34749403906933,0.347423232354708
2020-11-06,0.337739559535962,"Landsat8/9 (OLI)",2020,11,6,0.337739559535962,0.337739057149769
2020-11-11,0.327018770424953,"Landsat8/9 (OLI)",2020,11,11,0.327018770424953,0.327018770424953
2020-11-16,0.315863794603517,"Landsat8/9 (OLI)",2020,11,16,0.315863794603517,0.315863142707798
2020-11-21,0.304806754938868,"Landsat8/9 (OLI)",2020,11,21,0.304806754938868,0.3048228743183
2020-11-26,0.29437977429822,"Landsat8/9 (OLI)",2020,11,26,0.29437977429822,0.294554844414229
2020-12-01,0.285114975548787,"Landsat8/9 (OLI)",2020,12,1,0.285114975548787,0.285633024951634
2020-12-06,0.277551652410693,"Landsat8/9 (OLI)",2020,12,6,0.277551652410693,0.278243113561487
2020-12-11,0.272027882587281,"Landsat8/9 (OLI)",2020,12,11,0.272027882587281,0.272207640072728
2020-12-16,0.267587423605316,"Landsat8/9 (OLI)",2020,12,16,0.267587423605316,0.267208967647938
2020-12-21,0.262967884540558,"Landsat8/9 (OLI)",2020,12,21,0.262967884540558,0.262810279523061
2020-12-26,0.258072789673861,"Landsat8/9 (OLI)",2020,12,26,0.258072789673861,0.25832881655711
2020-12-31,0.253134090766253,"Landsat8/9 (OLI)",2020,12,31,0.253134090766253,0.252937642853485
2021-01-05,0.247382038113756,"Landsat8/9 (OLI)",2021,1,5,0.247382038113756,0.24623332919249
2021-01-10,0.239740775083192,"Landsat8/9 (OLI)",2021,1,10,0.239740775083192,0.238575025288574
